TeamH,TeamA,Id,
Hornets,Cavaliers,401360606,
Pistons,Celtics,401360607,
Pacers,Bulls,401360608,
Raptors,Hawks,401360609,
Spurs,Rockets,401360611,
Jazz,Nets,401360612,
Nuggets,Pelicans,401360613,
Mavericks,76ers,401360610,
Trail Blazers,Thunder,401360614,
