TeamH,TeamA,Id,Time,
Pistons,Cavaliers,401360708,1:00 AM,
Nets,Celtics,401360709,1:30 AM,
Bulls,Hawks,401360710,2:00 AM,
Timberwolves,Grizzlies,401360711,2:00 AM,
Thunder,Suns,401360712,2:00 AM,
Trail Blazers,Warriors,401360713,4:00 AM,
Kings,Nuggets,401360714,4:00 AM,
