TeamH,TeamA,Id,Time,
Trail Blazers,Knicks,401360664,0,
Hornets,Grizzlies,401360665,0,
Wizards,Kings,401360666,0,
Pelicans,Spurs,401360667,0,
76ers,Cavaliers,401360668,0,
Raptors,Nuggets,401360669,0,
Heat,Nets,401360670,0,
Bulls,Thunder,401360671,0,
Mavericks,Clippers,401360672,0,
Warriors,Lakers,401360673,0,
Suns,Magic,401360674,0,
