TeamH,TeamA,Id,
76ers,Pistons,401359889,
Wizards,Hawks,401359890,
Bulls,Knicks,401359891,
Rockets,Jazz,401359892,
Mavericks,Spurs,401359893,
Warriors,Grizzlies,401359894,
