TeamH,TeamA,Id,Time,
Pistons,Hornets,401360657,0,
Pacers,Cavaliers,401360658,0,
76ers,Thunder,401360659,0,
Hawks,Spurs,401360660,0,
Celtics,Nuggets,401360661,0,
Bulls,Timberwolves,401360662,0,
Jazz,Magic,401360663,0,
