TeamH,TeamA,Id,
Pelicans,Celtics,401360564,
Mavericks,Pacers,401360565,
76ers,Kings,401360566,
Heat,Raptors,401360567,
Grizzlies,Wizards,401360568,
Warriors,Nets,401360569,
