TeamH,TeamA,Id,Time,
Wizards,Pistons,401360677,0,
Nets,Kings,401360678,0,
Knicks,Thunder,401360679,0,
Bulls,Spurs,401360680,0,
Bucks,Trail Blazers,401360681,0,
Pelicans,Raptors,401360682,0,
Nuggets,Magic,401360683,0,
Jazz,Rockets,401360684,0,
Clippers,Warriors,401360685,0,
