TeamH,TeamA,Id,Time,
Hornets,Heat,401360704,0,
Nets,Wizards,401401136,0,
Pelicans,Mavericks,401360705,0,
Bucks,76ers,401360706,0,
Clippers,Rockets,401360707,0,
