TeamH,TeamA,Id,
Hawks,Magic,401360294,
Celtics,Cavaliers,401360295,
Bucks,Rockets,401360297,
Thunder,Nuggets,401360298,
Kings,Clippers,401360299,
Bulls,Raptors,401360296,
