TeamH,TeamA,Id,
Hornets,Pacers,401359833,
Pistons,Bulls,401359834,
Knicks,Celtics,401358775,
Raptors,Wizards,401359835,
Grizzlies,Cavaliers,401359836,
Timberwolves,Rockets,401359837,
Pelicans,76ers,401359838,
Spurs,Magic,401359839,
Jazz,Thunder,401359840,
Suns,Nuggets,401358776,
Trail Blazers,Kings,401359841,
