TeamH,TeamA,Id,
76ers,Knicks,401359971,
Bulls,Nets,401359972,
Grizzlies,Timberwolves,401359973,
Mavericks,Pelicans,401359974,
Nuggets,Heat,401359975,
Warriors,Hawks,401359976,
Kings,Suns,401359977,
Lakers,Hornets,401359978,
