TeamH,TeamA,Id,
Clippers,Pistons,401360104,
Hornets,Timberwolves,401360105,
Knicks,Suns,401360106,
Magic,Bulls,401360107,
Pacers,Raptors,401360108,
Grizzlies,Hawks,401360109,
Thunder,Wizards,401360110,
Spurs,Celtics,401360111,
Nuggets,Bucks,401360112,
Jazz,Pelicans,401360113,
Warriors,Trail Blazers,401360114,
Lakers,Kings,401360115,
