TeamH,TeamA,Id,
Hornets,Pacers,401360054,
Pistons,Warriors,401360055,
Celtics,Lakers,401360056,
Nets,Magic,401360057,
Bucks,Thunder,401360058,
Pelicans,Clippers,401360059,
Nuggets,Bulls,401360060,
Suns,Mavericks,401360061,
Kings,Raptors,401360062,
