TeamH,TeamA,Id,Time,
Hornets,Raptors,401360715,1:00 AM,
Pacers,Thunder,401360716,1:00 AM,
Magic,Rockets,401360717,1:00 AM,
Wizards,Spurs,401360718,1:00 AM,
Knicks,Heat,401360719,1:30 AM,
Timberwolves,76ers,401360720,2:00 AM,
Suns,Pelicans,401360721,3:00 AM,
Jazz,Mavericks,401360722,3:00 AM,
Lakers,Clippers,401360723,4:00 AM,
