TeamH,TeamA,Id,
Hornets,Rockets,401360320,
Hawks,Bulls,401360321,
Timberwolves,Celtics,401360322,
Spurs,Jazz,401360323,
Suns,Grizzlies,401360324,
Trail Blazers,Mavericks,401360325,
Clippers,Nets,401360326,
