TeamH,TeamA,Id,
Hornets,Bucks,401360426,
Pistons,Jazz,401360427,
Celtics,Pacers,401360428,
Knicks,Spurs,401360429,
Rockets,76ers,401360530,
Kings,Cavaliers,401360430,
Trail Blazers,Nets,401401133,
