TeamH,TeamA,Id,
Hornets,Thunder,401360503,
Magic,Lakers,401360504,
76ers,Clippers,401360505,
Hawks,Heat,401360506,
Celtics,Trail Blazers,401360507,
Wizards,Raptors,401360508,
Bucks,Bulls,401360509,
Spurs,Nets,401360510,
Nuggets,Grizzlies,401360511,
Jazz,Pistons,401360512,
Warriors,Rockets,401360513,
