TeamH,TeamA,Id,
Wizards,Celtics,401359902,
Pistons,Magic,401359903,
Pelicans,Knicks,401359904,
Pacers,Raptors,401359905,
76ers,Hawks,401359906,
Bulls,Jazz,401359907,
Grizzlies,Heat,401359908,
Bucks,Spurs,401359909,
Warriors,Thunder,401359910,
Timberwolves,Nuggets,401359911,
Suns,Cavaliers,401359912,
